user_index,tsne_1,tsne_2,cluster
56447,84.86199,-12.454344,3
313517,-73.861374,-82.808685,2
197021,-20.524551,-75.259674,2
275179,-114.78766,-10.483799,2
60458,32.368343,25.887396,3
167845,-0.51443976,-84.39784,1
34015,40.19173,30.290892,3
192316,-0.152518,-67.744835,1
300385,-85.84285,101.99779,2
175453,-5.4489202,2.9940405,2
202459,-26.762,-40.428123,2
55718,80.79574,-13.601819,3
219102,-51.626457,-26.334898,2
70801,20.026882,4.4808555,1
14029,95.699455,54.91466,3
260318,-102.62058,16.116251,2
156365,-3.8120534,-26.679398,1
180550,20.85282,75.08151,1
77661,18.02632,0.74894387,1
226798,-52.5295,60.781662,2
5544,82.969925,71.688515,5
54686,90.153984,-28.051544,1
70789,111.42531,-5.894075,3
218214,-56.50958,-10.905624,2
157614,-23.518435,-20.414274,2
209864,-24.227505,39.37392,2
179524,-5.5994344,-66.725945,1
87574,19.69813,3.9201114,1
242936,-68.77802,14.829566,2
303829,-73.02253,-83.62335,2
224343,-31.842924,74.40971,2
140081,23.589653,-77.08337,1
67309,97.69741,-18.98447,3
114206,69.033104,-78.16844,1
28707,42.92464,17.564882,3
107961,3.2664618,-27.82113,1
6520,89.6662,67.58863,5
208478,-34.881176,32.724915,2
311777,1.4862878,-137.53679,2
171987,-28.232779,-46.075626,2
42927,46.74694,7.00852,1
210507,-50.777084,4.1842475,2
66669,67.42404,-22.471224,1
24862,22.684853,39.788273,3
242863,-28.106081,1.101953,2
164823,32.740356,-78.258896,1
159191,-10.521714,-43.813564,1
232141,-60.705143,-11.198417,2
179214,-4.0885835,36.535477,1
202664,-23.030434,37.922665,2
297092,-90.48024,-70.07301,2
271164,-39.48093,53.719074,2
262817,-72.06986,-52.557194,2
99356,42.529736,-51.510986,1
210932,-24.938366,70.37556,2
205225,-72.98137,50.474503,2
228414,-66.104324,25.288475,2
303484,23.113028,113.752945,0
174081,34.64133,-101.30473,1
37853,114.15834,16.918262,3
98370,87.746895,-47.53775,1
168835,28.843933,91.931694,4
153984,-0.15178184,-49.42587,1
229149,2.7891042,73.617035,2
26644,88.92042,23.70366,3
89545,17.617239,-12.93229,1
3094,60.838806,71.8568,3
286319,-35.61792,-92.87787,2
185869,-32.00919,-71.69483,2
80799,34.71641,-20.37874,1
239031,-67.28972,62.064003,2
13500,75.200035,61.81088,3
18087,94.114784,43.95688,3
255581,-85.19822,-23.835688,2
239916,-75.040985,7.2314057,2
14154,91.27495,58.66062,3
192539,-45.38016,27.414318,2
35552,46.387924,15.638229,3
50850,111.53831,7.183497,3
299063,-90.94169,-88.34,2
53812,48.770527,5.21934,1
135917,62.398018,-75.82107,1
28143,49.424843,10.582994,1
169292,-7.0854244,51.213173,2
131239,22.31128,-51.84196,1
25942,90.78501,27.342398,3
133301,11.491145,-67.197044,1
102585,10.133146,-38.35955,1
234150,-12.852227,77.16615,2
144016,33.647213,-83.05327,1
101444,70.0375,-59.685894,1
140633,42.073696,-13.856314,1
152693,18.569704,-85.21661,1
171362,-5.557608,-76.89347,1
19036,100.18152,52.281673,3
147929,10.064719,74.09684,2
118965,-2.60044,1.8116174,1
101986,29.328234,-17.52574,1
8306,67.191444,43.808212,3
107868,43.604343,-13.412101,1
64298,66.283104,1.4465774,3
117756,30.151773,-70.67176,1
149817,-30.010235,18.528767,2
10987,95.29192,58.994152,3
94039,84.20937,-53.629124,1
65047,78.17662,-28.649078,1
118603,19.029093,75.60643,1
53048,97.358925,-19.3668,3
49712,94.65971,17.8591,3
228062,-64.424255,9.846702,2
270960,-27.616158,69.71924,2
61370,71.54806,-15.685054,1
81907,21.55649,24.551178,1
21377,98.36664,24.996943,3
132645,32.477825,-79.03406,1
169782,-0.5141642,19.248789,1
286258,-35.61792,-92.87787,2
16864,51.776043,37.480278,3
205389,-46.25581,-46.08065,2
168881,-8.227654,-45.911972,1
289687,-55.185047,-123.05613,2
46836,80.23043,6.9115443,3
98589,76.3368,-21.560102,1
152697,2.735877,12.63191,1
3228,84.099365,77.86661,5
228520,-61.61013,21.680214,2
29319,89.07413,24.359701,3
257321,-47.394703,71.79224,2
104951,64.47551,-81.91076,1
276828,-16.238396,96.23511,2
